fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.8,0.8605856637747836,-1,169,30,0.0234723905589891,50.0254221338562,AA,1078,5181.196306131546,2932.12708069278,4263.464693262173,13,8,CB,180,0,BE,1,1,10,0,500.0,0,INTERNET,16.747110097324686,windows,1,1,0,5
0,0.4,0.0410510591533017,-1,209,40,0.0127472286738675,14.555585241908364,AA,1470,10070.322382492894,5858.0191889958105,4382.190346144136,1302,7,CA,115,0,BA,1,1,10,1,500.0,0,INTERNET,6.1294325757728965,other,1,1,0,4
0,0.7000000000000001,0.9423004655113884,50,19,20,0.036528818075717,-1.1841091086374644,AD,1123,6905.505107389483,4460.133820766543,5331.831016025044,13,13,CB,161,1,BC,1,1,1,0,200.0,0,INTERNET,3.926476338525032,windows,1,1,0,1
0,0.8,0.1031914522237858,-1,105,40,0.0207721826554538,-1.15840366264729,AB,890,6799.8288896079,4892.894481722439,5038.521955405471,2,6,CB,200,0,BA,1,1,31,0,1500.0,0,INTERNET,16.73534294648147,other,1,1,0,4
0,0.4,0.1270224628776857,231,14,30,0.0022359134396131,-0.8845490371068147,AC,3870,5260.405350605493,5169.858643342224,5077.070843155088,0,7,CA,189,1,BB,1,1,-1,0,1500.0,0,INTERNET,10.981693210872324,windows,1,1,0,2
0,0.9,0.0043324720804812,-1,108,30,0.0333102992859559,-1.2497664656841998,AA,1624,7764.896061901523,4221.715872142451,3086.9986929478578,411,13,CF,169,0,BC,0,1,10,1,500.0,0,INTERNET,3.716909601658264,linux,0,1,0,7
0,0.9,0.4328655880260967,-1,30,30,0.0143945442186415,-1.4959032261313547,AB,932,4146.445420050012,3830.251150705624,3062.2501404495174,14,9,CA,112,1,BC,0,1,28,1,200.0,0,INTERNET,10.26481602834518,other,0,1,0,7
0,0.2,0.4219146743689869,21,2,20,0.0322263125928505,16.648548158889078,AD,612,6777.689546117157,4511.144708554634,5112.970417434536,11,14,CA,109,1,BC,0,1,29,0,200.0,0,INTERNET,16.177482855923994,other,1,1,0,1
0,0.1,0.4578232522297271,-1,51,30,0.0057640875119403,-0.9072932021280518,AC,625,1008.9603669765772,3375.948282296951,3101.8549106582645,1,7,CA,108,1,BC,1,1,-1,0,200.0,0,INTERNET,0.9899799574731992,linux,1,1,0,7
0,0.5,0.0748122863972254,-1,42,30,0.0011144287766368,10.794113584686318,AA,1240,3490.771144407005,3821.664308570332,5163.989238769167,12,12,CA,159,0,BB,0,1,15,1,500.0,0,INTERNET,4.609683348057544,other,0,1,0,3
